# This file may be used to create an environment using:
# $ conda create --name 16S_QC -c bioconda --file <this file>
python=3.5.1
snakemake=3.7.1
fuzzysearch
biopython
argparse
logging

Contract	Sample	Raw reads	Pand reads	HQ reads	HQ ratio	Total ratio
RY2016E03A03-1_16S	H16E1	74690	60345	60345	100.00%	80.79%
RY2016E03A03-1_16S	H16E2	84173	68883	68883	100.00%	81.84%
RY2016E03A03-1_16S	H16E3	64701	49735	49735	100.00%	76.87%
RY2016E03A03-1_16S	H16E4	37652	30545	30545	100.00%	81.12%
RY2016E03A03-1_16S	H16E5	71530	52724	52724	100.00%	73.71%
RY2016E03A03-1_16S	H16E6	82137	63443	63443	100.00%	77.24%
RY2016E03A03-1_16S	H16E7	94280	75789	75789	100.00%	80.39%
RY2016D27G03-1_16S	H16E8	91361	75645	75645	100.00%	82.80%
RY2016D27G03-1_16S	H16E9	54915	44480	44480	100.00%	81.00%
RY2016D27G03-1_16S	H16E10	56453	45094	45094	100.00%	79.88%
RY2016D27G03-1_16S	H16E11	73451	58910	58910	100.00%	80.20%
RY2016D27G03-1_16S	H16E12	62093	50649	50649	100.00%	81.57%
RY2016D27G03-1_16S	H16E13	62707	50204	50204	100.00%	80.06%
RY2016D27G03-1_16S	H16E14	52048	42366	42366	100.00%	81.40%
RY2016D27G03-1_16S	H16E15	47680	38550	38550	100.00%	80.85%
RY2016D27G03-1_16S	H16E16	52488	43307	43307	100.00%	82.51%
RY2016D27G03-1_16S	H16E17	73978	58987	58987	100.00%	79.74%
RY2016D27G03-1_16S	H16E18	42200	33831	33831	100.00%	80.17%
RY2016D27G03-1_16S	H16E19	34343	27407	27407	100.00%	79.80%
RY2016D11G03-1_16S	H16E20	42020	34028	34028	100.00%	80.98%
RY2016D11G03-1_16S	H16E21	30318	23783	23783	100.00%	78.45%
RY2016D11G03-1_16S	H16E22	35341	28030	28030	100.00%	79.31%
RY2016D11G03-1_16S	H16E23	43600	34701	34701	100.00%	79.59%
RY2016D11G03-1_16S	H16E24	13423	11195	11195	100.00%	83.40%
RY2016D11G03-1_16S	H16E25	46222	36791	36791	100.00%	79.60%
RY2016D11G03-1_16S	H16E26	21270	16604	16604	100.00%	78.06%
RY2016D11G03-1_16S	H16E27	54222	44248	44248	100.00%	81.61%
RY2016D11G03-1_16S	H16E28	43813	35442	35442	100.00%	80.89%
RY2016D11G03-1_16S	H16E29	35198	28279	28279	100.00%	80.34%
RY2016D11G03-1_16S	H16E30	10463	8259	8259	100.00%	78.94%
RY2016D11G03-1_16S	H16E31	23909	19038	19038	100.00%	79.63%
RY2016D11G03-1_16S	H16E32	27205	21953	21953	100.00%	80.69%
RY2016D11G03-1_16S	H16E33	33148	26067	26067	100.00%	78.64%
RY2016D11G03-1_16S	H16E34	68764	54517	54517	100.00%	79.28%
RY2016D11G03-1_16S	H16E35	47033	38681	38681	100.00%	82.24%
RY2016D11G03-1_16S	H16E36	59926	47874	47874	100.00%	79.89%
RY2016D11G03-1_16S	H16E37	14666	11793	11793	100.00%	80.41%
RY2016D11G03-1_16S	H16E38	24928	19648	19648	100.00%	78.82%
RY2016D11G03-1_16S	H16E39	73800	58723	58723	100.00%	79.57%
RY2016D11G03-1_16S	H16E40	28316	22031	22031	100.00%	77.80%
RY2016D11G03-1_16S	H16E41	38152	30098	30098	100.00%	78.89%
RY2016D11G03-1_16S	H16E42	55119	42551	42551	100.00%	77.20%
RY2016D11G03-1_16S	H16E43	9245	7352	7352	100.00%	79.52%
RY2016D11G03-1_16S	H16E44	24646	18298	18298	100.00%	74.24%
RY2016D11G03-1_16S	H16E45	57619	49416	49416	100.00%	85.76%
RY2016D11G03-1_16S	H16E46	22220	18783	18783	100.00%	84.53%
RY2016D11G03-1_16S	H16E47	32532	27235	27235	100.00%	83.72%
RY2016D11G03-1_16S	H16E48	36776	29951	29951	100.00%	81.44%
RY2016D11G03-1_16S	H16E49	33834	28029	28029	100.00%	82.84%
RY2016D11G03-1_16S	H16E50	30963	25082	25082	100.00%	81.01%
RY2016D11G03-1_16S	H16E51	75019	58206	58206	100.00%	77.59%
RY2016D11G03-1_16S	H16E52	49249	38741	38741	100.00%	78.66%
RY2016D11G03-1_16S	H16E53	36004	28582	28582	100.00%	79.39%
RY2016D11G03-1_16S	H16E54	31637	24944	24944	100.00%	78.84%
RY2016D11G03-1_16S	H16E55	39192	30719	30719	100.00%	78.38%
RY2016D11G03-1_16S	H16E56	34600	26866	26866	100.00%	77.65%
RY2016D11G03-1_16S	H16E57	53443	42696	42696	100.00%	79.89%
RY2016D11G03-1_16S	H16E58	68871	53388	53388	100.00%	77.52%
RY2016D11G03-1_16S	H16E59	25616	20662	20662	100.00%	80.66%
RY2016D11G03-1_16S	H16E60	37961	29935	29935	100.00%	78.86%
RY2016D11G03-1_16S	H16E61	34573	26892	26892	100.00%	77.78%
RY2016D11G03-1_16S	H16E62	17953	13801	13801	100.00%	76.87%
RY2016D11G03-1_16S	H16E63	42507	34483	34483	100.00%	81.12%
RY2016D11G03-1_16S	H16E64	25562	19918	19918	100.00%	77.92%
RY2016D11G03-1_16S	H16E65	9196	7515	7515	100.00%	81.72%
RY2016D11G03-1_16S	H16E66	27429	22858	22858	100.00%	83.34%
RY2016D11G03-1_16S	H16E67	78199	62762	62762	100.00%	80.26%
RY2016D11G03-1_16S	H16E68	23871	19624	19624	100.00%	82.21%
RY2016D11G03-1_16S	H16E69	6749	5662	5662	100.00%	83.89%
RY2016D11G03-1_16S	H16E70	56643	46129	46129	100.00%	81.44%
RY2016D11G03-1_16S	H16E71	48500	37745	37745	100.00%	77.82%
RY2016D11G03-1_16S	H16E72	56491	43755	43755	100.00%	77.45%
RY2016D11G03-1_16S	H16E73	25279	19559	19559	100.00%	77.37%
RY2016D11G03-1_16S	H16E74	17012	13431	13431	100.00%	78.95%
RY2016D11G03-1_16S	H16E75	6525	5375	5375	100.00%	82.38%
RY2016D11G03-1_16S	H16E76	17562	13532	13532	100.00%	77.05%
RY2016D11G03-1_16S	H16E77	5930	4902	4902	100.00%	82.66%
RY2016D11G03-1_16S	H16E78	12683	10224	10224	100.00%	80.61%
RY2016D11G03-1_16S	H16E79	55009	44750	44750	100.00%	81.35%
RY2016D11G03-1_16S	H16E80	20053	15534	15534	100.00%	77.46%
RY2016D11G03-1_16S	H16E81	39567	29663	29663	100.00%	74.97%
RY2016D11G03-1_16S	H16E82	33787	26610	26610	100.00%	78.76%
RY2016D11G03-1_16S	H16E83	47005	38416	38416	100.00%	81.73%
RY2016D11G03-1_16S	H16E84	45204	37251	37251	100.00%	82.41%
RY2016D11G03-1_16S	H16E85	38983	31230	31230	100.00%	80.11%
RY2016D11G03-1_16S	H16E86	24034	19432	19432	100.00%	80.85%
RY2016D11G03-1_16S	H16E87	37305	29404	29404	100.00%	78.82%
RY2016E04A03-1_16S	H16E88	65189	53306	53306	100.00%	81.77%
RY2016E04A03-1_16S	H16E89	64712	51862	51862	100.00%	80.14%
RY2016E04A03-1_16S	H16E90	61788	49457	49457	100.00%	80.04%
RY2016E04A03-1_16S	H16E91	72549	56248	56248	100.00%	77.53%
RY2016E04A03-1_16S	H16E92	67929	54210	54210	100.00%	79.80%
RY2016E04A03-1_16S	H16E93	65271	52553	52553	100.00%	80.52%
RY2016E04A03-1_16S	H16E94	39561	30619	30619	100.00%	77.40%
RY2016E04A03-1_16S	H16E95	75418	59571	59571	100.00%	78.99%
RY2016E04A03-1_16S	H16E96	77012	62564	62564	100.00%	81.24%
RY2016E04A03-1_16S	H16E97	66310	51756	51756	100.00%	78.05%
RY2016E04A03-1_16S	H16E98	70265	55139	55139	100.00%	78.47%
RY2016E04A03-1_16S	H16E99	48679	38805	38805	100.00%	79.72%
RY2016E04A03-1_16S	H16E100	54478	44361	44361	100.00%	81.43%
RY2016E04A03-1_16S	H16E101	92413	73495	73495	100.00%	79.53%
RY2016E04A03-1_16S	H16E102	75029	60230	60230	100.00%	80.28%
RY2016E04A03-1_16S	H16E103	73502	58788	58788	100.00%	79.98%
RY2016E04A03-1_16S	H16E104	57892	47050	47050	100.00%	81.27%
RY2016E04A03-1_16S	H16E105	56814	45145	45145	100.00%	79.46%
RY2016E04A03-1_16S	H16E106	44075	34730	34730	100.00%	78.80%
RY2016E04A03-1_16S	H16E107	67818	52931	52931	100.00%	78.05%
RY2016E04A03-1_16S	H16E108	54208	44106	44106	100.00%	81.36%
RY2016E04A03-1_16S	H16E109	50563	39963	39963	100.00%	79.04%
RY2016E04A03-1_16S	H16E110	38993	30770	30770	100.00%	78.91%
RY2016E04A03-1_16S	H16E111	64654	50982	50982	100.00%	78.85%
RY2016C07A03-2_16S	H16E112	32879	26892	26892	100.00%	81.79%
RY2016C07A03-2_16S	H16E113	18438	15099	15099	100.00%	81.89%
RY2016C07A03-2_16S	H16E114	27806	22833	22833	100.00%	82.12%
RY2016C07A03-2_16S	H16E115	28119	22575	22575	100.00%	80.28%
RY2016C07A03-2_16S	H16E116	19135	15081	15081	100.00%	78.81%
RY2016C07A03-2_16S	H16E117	10457	8553	8553	100.00%	81.79%
RY2016C07A03-2_16S	H16E118	34738	26368	26368	100.00%	75.91%
RY2016C07A03-2_16S	H16E119	14509	12028	12028	100.00%	82.90%
RY2016C07A03-2_16S	H16E120	16752	13452	13452	100.00%	80.30%
RY2016C07A03-2_16S	H16E121	8471	6952	6952	100.00%	82.07%
RY2016C07A03-2_16S	H16E122	14840	12297	12297	100.00%	82.86%
RY2016C07A03-2_16S	H16E123	55761	43718	43718	100.00%	78.40%
RY2016C07A03-2_16S	H16E124	40356	31676	31676	100.00%	78.49%
RY2016C07A03-2_16S	H16E125	56	43	43	100.00%	76.79%
RY2016C07A03-2_16S	H16E126	45286	36852	36852	100.00%	81.38%
RY2016C07A03-2_16S	H16E127	41203	32269	32269	100.00%	78.32%
RY2016C07A03-2_16S	H16E128	84653	67267	67267	100.00%	79.46%
RY2016C07A03-2_16S	H16E129	82504	65415	65415	100.00%	79.29%
RY2016C07A03-2_16S	H16E130	45673	36482	36482	100.00%	79.88%
RY2016C07A03-2_16S	H16E131	41831	34588	34588	100.00%	82.69%
RY2016C07A03-2_16S	H16E132	74008	59135	59135	100.00%	79.90%
RY2016C07F03-1_16S	H16E133	49074	38225	38225	100.00%	77.89%
RY2016C07F03-1_16S	H16E134	50314	39988	39988	100.00%	79.48%
RY2016C07F03-1_16S	H16E135	58115	46601	46601	100.00%	80.19%
RY2016C07F03-1_16S	H16E136	46322	36719	36719	100.00%	79.27%
RY2016C07F03-1_16S	H16E137	72475	58322	58322	100.00%	80.47%
RY2016C07F03-1_16S	H16E138	54855	44962	44962	100.00%	81.97%
RY2016C07F03-1_16S	H16E139	48900	39515	39515	100.00%	80.81%
RY2016C07F03-1_16S	H16E140	49753	40518	40518	100.00%	81.44%
RY2016C07F03-1_16S	H16E141	32132	25907	25907	100.00%	80.63%
RY2016C07F03-1_16S	H16E142	40544	33127	33127	100.00%	81.71%
RY2016C07F03-1_16S	H16E143	35916	28668	28668	100.00%	79.82%
RY2016C07F03-1_16S	H16E144	30590	25191	25191	100.00%	82.35%
RY2016C07F03-1_16S	H16E145	27859	22157	22157	100.00%	79.53%
RY2016C07F03-1_16S	H16E146	36482	29477	29477	100.00%	80.80%
RY2016C07F03-1_16S	H16E147	59560	47909	47909	100.00%	80.44%
RY2016D29G03-1_16S	H16E148	66694	53575	53575	100.00%	80.33%
RY2016D29G03-1_16S	H16E149	53174	41340	41340	100.00%	77.74%
RY2016D29G03-1_16S	H16E150	74689	58978	58978	100.00%	78.96%
RY2016D29G03-1_16S	H16E151	41178	32243	32243	100.00%	78.30%
RY2016D29G03-1_16S	H16E152	41095	30920	30920	100.00%	75.24%
RY2016D29G03-1_16S	H16E153	66974	52813	52813	100.00%	78.86%
RY2016D29G03-1_16S	H16E154	60167	45466	45466	100.00%	75.57%
RY2016D29G03-1_16S	H16E155	78737	60689	60689	100.00%	77.08%
RY2016D29G03-1_16S	H16E156	69000	53938	53938	100.00%	78.17%
RY2016D29G03-1_16S	H16E157	81602	62375	62375	100.00%	76.44%
RY2016D29G03-1_16S	H16E158	69372	53153	53153	100.00%	76.62%
RY2016D29G03-1_16S	H16E159	61435	47873	47873	100.00%	77.92%
RY2016D29G03-1_16S	H16E160	59758	47094	47094	100.00%	78.81%
RY2016D29G03-1_16S	H16E161	73217	57339	57339	100.00%	78.31%
RY2016D29G03-1_16S	H16E162	69846	54792	54792	100.00%	78.45%
RY2015L27G03-1_16S	H16E163	75509	60735	60735	100.00%	80.43%
